
💝TW250408,#genre#
今日新聞頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20043
民視閩南頻道,rtmp://f13h.mine.nu/sat/tv051#http://37.27.111.214:8080/live/6/hls.m3u8
中視閩南頻道,rtmp://f13h.mine.nu/sat/tv091
華視閩南頻道,rtmp://f13h.mine.nu/sat/tv111#http://37.27.111.214:8080/live/8/hls.m3u8
台視閩南頻道,rtmp://f13h.mine.nu/sat/tv071
東森超視頻道,rtmp://f13h.mine.nu/sat/tv331
民視閩南頻道,http://37.27.111.214:8080/live/6/hls.m3u8
華視閩南頻道,http://37.27.111.214:8080/live/8/hls.m3u8
tvbs閩南頻特,http://61.221.215.25:8800/hls/9/index.m3u8
三立戲劇頻特,http://61.221.215.25:8800/hls/41/index.m3u8
中天娛樂頻特,http://61.221.215.25:8800/hls/47/index.m3u8
民視新聞頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20097
公視閩南頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20087
tvbs閩南頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20085
tvbs歡樂頻高,http://108.181.21.27:27347/livehttpplay?channel_id=20105
tvbs精彩頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20136
三立戲劇頻標,http://108.181.21.27:27347/livehttpplay?channel_id=10125
中天綜合頻高,http://108.181.21.27:27347/livehttpplay?channel_id=20064
八大綜合頻高,http://108.181.21.27:27347/livehttpplay?channel_id=20068
八大第一頻高,http://108.181.21.27:27347/livehttpplay?channel_id=20073
八大精彩頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20052
東森財經頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20078
美亞電影頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20197
龍華電影頻標,http://108.181.21.27:27347/livehttpplay?channel_id=10129
龍華電影頻高,https://cdn8.163189.xyz/live/lhdy/stream.m3u8
龍華經典頻高,https://cdn8.163189.xyz/live/lhjd/stream.m3u8
龍華卡通頻高,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龍華偶像頻高,https://cdn8.163189.xyz/live/lhox/stream.m3u8
龍華日韓頻高,https://cdn8.163189.xyz/live/lhrh/stream.m3u8
龍華戲劇頻高,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龍華洋片頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20090
Fgm電影頻標,http://108.181.21.27:27347/livehttpplay?channel_id=10123
CNN新聞頻標,http://108.181.21.27:27347/livehttpplay?channel_id=10123
cn卡通頻道高,http://108.181.21.27:27347/livehttpplay?channel_id=20048
尼克卡通頻標,http://108.181.21.27:27347/livehttpplay?channel_id=20089
緯來精彩頻特,http://61.221.215.25:8800/hls/48/index.m3u8
動物星球頻國,http://61.221.215.25:8800/hls/57/index.m3u8
緯來育樂頻特,rtmp://f13h.mine.nu/sat/tv701
緯來日本頻特,rtmp://f13h.mine.nu/sat/tv771
緯來体育頻特,rtmp://f13h.mine.nu/sat/tv721
amc電影頻英,http://61.221.215.25:8800/hls/43/index.m3u8
ASC搜索頻英,http://61.221.215.25:8800/hls/50/index.m3u8
Diso綜合頻英,http://61.221.215.25:8800/hls/1/index.m3u8
momoTV頻特,rtmp://f13h.mine.nu/sat/tv761
博斯高球壹標,http://108.181.21.27:27347/livehttpplay?channel_id=20103
博斯高球貳標,http://108.181.21.27:27347/livehttpplay?channel_id=20117
博斯運動貳標,http://108.181.21.27:27347/livehttpplay?channel_id=20311
龍華洋片頻道,http://37.27.111.214:8080/live/19/hls.m3u8
豬哥亮歌廳國,http://37.27.111.214:8080/live/35/hls.m3u8
亞洲旅游頻道,http://37.27.111.214:8080/live/10/hls.m3u8
博斯高球頻壹,http://37.27.111.214:8080/live/13/hls.m3u8
博斯運動頻壹,http://37.27.111.214:8080/live/14/hls.m3u8
博斯無限頻道,http://37.27.111.214:8080/live/15/hls.m3u8
HISTORY頻道,http://37.27.111.214:8080/live/27/hls.m3u8
HITs電影頻道,http://37.27.111.214:8080/live/28/hls.m3u8
CINEMA-頻道,http://37.27.111.214:8080/live/30/hls.m3u8

💝148彎彎,#genre#
寰宇新聞,http://222.128.55.152:9080/live/hy.m3u8
寰宇新聞,https://gdfire2.67890123.cn:8088/live/hyxw.m3u8
寰宇新聞,http://aktv_stream1.m16tv.cfd/stream/aktv/null-7/AKTV.m3u8
東森新聞,https://gdfire2.67890123.cn:8088/live/dsxw.m3u8
東森新聞,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvnews
東森新聞,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvnews/playlist.m3u8#http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvnews/playlist.m3u8#http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvnews/playlist.m3u8
東森財經新聞 ETTV Business,http://148.135.34.95/mn.php?playurl=http://www.pelotas.org:8278/ettvcaijing_twn/playlist.m3u8
